date,date_units,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,interval,interval_units,temperature_2m,temperature_2m_units,relative_humidity_2m,relative_humidity_2m_units,apparent_temperature,apparent_temperature_units,is_day,is_day_units,wind_speed_10m,wind_speed_10m_units,wind_direction_10m,wind_direction_10m_units,wind_gusts_10m,wind_gusts_10m_units,precipitation,precipitation_units,showers,showers_units,snowfall,snowfall_units,rain,rain_units,weather_code,weather_code_units,cloud_cover,cloud_cover_units,pressure_msl,pressure_msl_units,surface_pressure,surface_pressure_units
2025-05-20T03:45,iso8601,16.5,95.125,0.08821487426757812,0,GMT,GMT,6.0,900,seconds,31.0,°C,73,%,37.1,°C,1,,7.1,km/h,150,°,13.7,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.8,hPa,1007.1,hPa
2025-05-20T03:45,iso8601,16.625,95.125,0.06961822509765625,0,GMT,GMT,6.0,900,seconds,30.9,°C,73,%,36.7,°C,1,,8.7,km/h,150,°,15.8,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.8,hPa,1007.1,hPa
2025-05-20T03:45,iso8601,17.25,95.125,0.08594989776611328,0,GMT,GMT,6.0,900,seconds,31.5,°C,68,%,37.7,°C,1,,7.6,km/h,161,°,14.4,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.8,hPa,1007.1,hPa
2025-05-20T03:45,iso8601,17.375,95.125,0.08845329284667969,0,GMT,GMT,12.0,900,seconds,31.5,°C,68,%,37.7,°C,1,,7.6,km/h,161,°,14.8,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.8,hPa,1006.4,hPa
2025-05-20T03:45,iso8601,17.375,95.125,0.08034706115722656,0,GMT,GMT,11.0,900,seconds,31.5,°C,68,%,37.7,°C,1,,7.6,km/h,161,°,14.8,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.8,hPa,1006.6,hPa
2025-05-20T03:45,iso8601,17.5,95.5,0.07772445678710938,0,GMT,GMT,14.0,900,seconds,31.0,°C,70,%,36.8,°C,1,,6.8,km/h,148,°,15.1,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1007.9,hPa,1006.3,hPa
2025-05-20T03:45,iso8601,17.375,96.5,0.08463859558105469,0,GMT,GMT,14.0,900,seconds,31.0,°C,73,%,37.9,°C,1,,5.5,km/h,157,°,10.4,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1008.2,hPa,1006.6,hPa
2025-05-20T03:45,iso8601,17.5,96.5,0.0845193862915039,0,GMT,GMT,14.0,900,seconds,31.0,°C,73,%,37.7,°C,1,,5.6,km/h,153,°,10.4,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1008.2,hPa,1006.6,hPa
2025-05-20T03:45,iso8601,17.125,96.375,0.08046627044677734,0,GMT,GMT,12.0,900,seconds,30.9,°C,73,%,38.2,°C,1,,4.3,km/h,132,°,9.7,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1008.2,hPa,1006.8,hPa
2025-05-20T03:45,iso8601,17.75,96.625,0.11980533599853516,0,GMT,GMT,18.0,900,seconds,30.9,°C,74,%,38.0,°C,1,,4.2,km/h,149,°,9.7,km/h,0.0,mm,0.0,mm,0.0,cm,0.0,mm,3,wmo code,100,%,1008.2,hPa,1006.2,hPa
