date,date_units,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,weather_code,weather_code_units,temperature_2m_max,temperature_2m_max_units,temperature_2m_min,temperature_2m_min_units,apparent_temperature_max,apparent_temperature_max_units,apparent_temperature_min,apparent_temperature_min_units,sunrise,sunrise_units,sunset,sunset_units,daylight_duration,daylight_duration_units,sunshine_duration,sunshine_duration_units,uv_index_max,uv_index_max_units,uv_index_clear_sky_max,uv_index_clear_sky_max_units,rain_sum,rain_sum_units,showers_sum,showers_sum_units,snowfall_sum,snowfall_sum_units,precipitation_sum,precipitation_sum_units,precipitation_hours,precipitation_hours_units,precipitation_probability_max,precipitation_probability_max_units,wind_speed_10m_max,wind_speed_10m_max_units,wind_gusts_10m_max,wind_gusts_10m_max_units,wind_direction_10m_dominant,wind_direction_10m_dominant_units,shortwave_radiation_sum,shortwave_radiation_sum_units,et0_fao_evapotranspiration,et0_fao_evapotranspiration_units
2025-05-21,iso8601,17.625,95.5,0.9288787841796875,0,GMT,GMT,17.0,96,wmo code,34.3,°C,26.9,°C,40.9,°C,33.3,°C,2025-05-20T23:03,iso8601,2025-05-21T12:05,iso8601,46890.32,s,38277.97,s,8.8,,9.15,,0.0,mm,4.7,mm,0.0,cm,4.7,mm,6.0,h,55,%,13.0,km/h,24.8,km/h,188,°,21.19,MJ/m²,4.74,mm
2025-05-22,iso8601,17.625,95.5,0.9288787841796875,0,GMT,GMT,17.0,95,wmo code,34.3,°C,27.2,°C,40.9,°C,33.8,°C,2025-05-21T23:03,iso8601,2025-05-22T12:05,iso8601,46925.57,s,40578.04,s,9.15,,9.15,,0.0,mm,3.0,mm,0.0,cm,3.0,mm,5.0,h,75,%,11.9,km/h,24.5,km/h,214,°,21.66,MJ/m²,4.75,mm
2025-05-23,iso8601,17.625,95.5,0.9288787841796875,0,GMT,GMT,17.0,80,wmo code,34.0,°C,27.2,°C,41.5,°C,34.3,°C,2025-05-22T23:03,iso8601,2025-05-23T12:06,iso8601,46959.75,s,37509.32,s,8.9,,9.15,,0.0,mm,7.6,mm,0.0,cm,7.6,mm,13.0,h,68,%,13.1,km/h,25.9,km/h,196,°,21.5,MJ/m²,4.7,mm
2025-05-24,iso8601,17.625,95.5,0.9288787841796875,0,GMT,GMT,17.0,95,wmo code,34.1,°C,26.9,°C,41.3,°C,33.8,°C,2025-05-23T23:03,iso8601,2025-05-24T12:06,iso8601,46992.81,s,39844.23,s,7.5,,9.15,,0.0,mm,13.5,mm,0.0,cm,13.5,mm,9.0,h,81,%,12.0,km/h,23.8,km/h,165,°,21.19,MJ/m²,4.67,mm
2025-05-25,iso8601,17.625,95.5,0.9288787841796875,0,GMT,GMT,17.0,95,wmo code,31.9,°C,26.5,°C,38.4,°C,32.6,°C,2025-05-24T23:03,iso8601,2025-05-25T12:06,iso8601,47024.71,s,34201.88,s,6.05,,8.7,,0.0,mm,20.1,mm,0.0,cm,20.4,mm,23.0,h,94,%,9.8,km/h,23.4,km/h,151,°,16.33,MJ/m²,3.49,mm
2025-05-26,iso8601,17.625,95.5,0.9288787841796875,0,GMT,GMT,17.0,80,wmo code,30.1,°C,25.5,°C,35.3,°C,30.7,°C,2025-05-25T23:02,iso8601,2025-05-26T12:07,iso8601,47055.41,s,4678.87,s,5.5,,8.7,,13.7,mm,8.5,mm,0.0,cm,22.2,mm,18.0,h,95,%,12.5,km/h,30.2,km/h,154,°,9.66,MJ/m²,2.22,mm
2025-05-20,iso8601,17.625,95.25,0.19443035125732422,0,GMT,GMT,18.0,45,wmo code,34.8,°C,25.9,°C,40.5,°C,32.3,°C,2025-05-19T23:05,iso8601,2025-05-20T12:05,iso8601,46854.05,s,39472.3,s,8.6,,9.15,,0.0,mm,0.2,mm,0.0,cm,0.2,mm,2.0,h,25,%,10.5,km/h,21.6,km/h,193,°,21.41,MJ/m²,4.89,mm
2025-05-21,iso8601,17.625,95.25,0.19443035125732422,0,GMT,GMT,18.0,95,wmo code,35.1,°C,26.0,°C,41.5,°C,32.0,°C,2025-05-20T23:04,iso8601,2025-05-21T12:06,iso8601,46890.32,s,36806.14,s,9.05,,9.15,,0.0,mm,5.7,mm,0.0,cm,5.7,mm,6.0,h,48,%,12.6,km/h,25.9,km/h,194,°,22.0,MJ/m²,4.96,mm
2025-05-22,iso8601,17.625,95.25,0.19443035125732422,0,GMT,GMT,18.0,95,wmo code,34.8,°C,26.2,°C,41.4,°C,32.5,°C,2025-05-21T23:04,iso8601,2025-05-22T12:06,iso8601,46925.57,s,39398.88,s,9.0,,9.15,,0.0,mm,3.2,mm,0.0,cm,3.2,mm,3.0,h,55,%,14.8,km/h,31.0,km/h,225,°,22.18,MJ/m²,4.92,mm
2025-05-23,iso8601,17.625,95.25,0.19443035125732422,0,GMT,GMT,18.0,80,wmo code,34.5,°C,26.4,°C,41.5,°C,33.4,°C,2025-05-22T23:04,iso8601,2025-05-23T12:07,iso8601,46959.75,s,36275.52,s,8.65,,9.15,,0.0,mm,7.5,mm,0.0,cm,7.5,mm,9.0,h,75,%,13.8,km/h,28.8,km/h,202,°,20.57,MJ/m²,4.58,mm
